Date,Close,year,month,day,Year
2022-02-11,42407.9375,2022,2,11,2022
2022-02-12,42244.46875,2022,2,12,2022
2022-02-13,42197.515625,2022,2,13,2022
2022-02-14,42586.917969,2022,2,14,2022
2022-02-15,44575.203125,2022,2,15,2022
2022-02-16,43961.859375,2022,2,16,2022
2022-02-17,40538.011719,2022,2,17,2022
2022-02-18,40030.976563,2022,2,18,2022
2022-02-19,40122.15625,2022,2,19,2022
2022-02-20,38431.378906,2022,2,20,2022
2022-02-21,37075.28125,2022,2,21,2022
2022-02-22,38286.027344,2022,2,22,2022
2022-02-23,37296.570313,2022,2,23,2022
2022-02-24,38332.609375,2022,2,24,2022
2022-02-25,39214.21875,2022,2,25,2022
2022-02-26,39105.148438,2022,2,26,2022
2022-02-27,37709.785156,2022,2,27,2022
2022-02-28,43193.234375,2022,2,28,2022
2022-03-01,44354.636719,2022,3,1,2022
2022-03-02,43924.117188,2022,3,2,2022
2022-03-03,42451.789063,2022,3,3,2022
2022-03-04,39137.605469,2022,3,4,2022
2022-03-05,39400.585938,2022,3,5,2022
2022-03-06,38419.984375,2022,3,6,2022
2022-03-07,38062.039063,2022,3,7,2022
2022-03-08,38737.269531,2022,3,8,2022
2022-03-09,41982.925781,2022,3,9,2022
2022-03-10,39437.460938,2022,3,10,2022
2022-03-11,38794.972656,2022,3,11,2022
2022-03-12,38904.011719,2022,3,12,2022
2022-03-13,37849.664063,2022,3,13,2022
2022-03-14,39666.753906,2022,3,14,2022
2022-03-15,39338.785156,2022,3,15,2022
2022-03-16,41143.929688,2022,3,16,2022
2022-03-17,40951.378906,2022,3,17,2022
2022-03-18,41801.15625,2022,3,18,2022
2022-03-19,42190.652344,2022,3,19,2022
2022-03-20,41247.824219,2022,3,20,2022
2022-03-21,41077.996094,2022,3,21,2022
2022-03-22,42358.808594,2022,3,22,2022
2022-03-23,42892.957031,2022,3,23,2022
2022-03-24,43960.933594,2022,3,24,2022
2022-03-25,44348.730469,2022,3,25,2022
2022-03-26,44500.828125,2022,3,26,2022
2022-03-27,46820.492188,2022,3,27,2022
2022-03-28,47128.003906,2022,3,28,2022
2022-03-29,47465.730469,2022,3,29,2022
2022-03-30,47062.664063,2022,3,30,2022
2022-03-31,45538.675781,2022,3,31,2022
2022-04-01,46281.644531,2022,4,1,2022
2022-04-02,45868.949219,2022,4,2,2022
2022-04-03,46453.566406,2022,4,3,2022
2022-04-04,46622.675781,2022,4,4,2022
2022-04-05,45555.992188,2022,4,5,2022
2022-04-06,43206.738281,2022,4,6,2022
2022-04-07,43503.847656,2022,4,7,2022
2022-04-08,42287.664063,2022,4,8,2022
2022-04-09,42782.136719,2022,4,9,2022
2022-04-10,42207.671875,2022,4,10,2022
2022-04-11,39521.902344,2022,4,11,2022
2022-04-12,40127.183594,2022,4,12,2022
2022-04-13,41166.730469,2022,4,13,2022
2022-04-14,39935.515625,2022,4,14,2022
2022-04-15,40553.464844,2022,4,15,2022
2022-04-16,40424.484375,2022,4,16,2022
2022-04-17,39716.953125,2022,4,17,2022
2022-04-18,40826.214844,2022,4,18,2022
2022-04-19,41502.75,2022,4,19,2022
2022-04-20,41374.378906,2022,4,20,2022
2022-04-21,40527.363281,2022,4,21,2022
2022-04-22,39740.320313,2022,4,22,2022
2022-04-23,39486.730469,2022,4,23,2022
2022-04-24,39469.292969,2022,4,24,2022
2022-04-25,40458.308594,2022,4,25,2022
2022-04-26,38117.460938,2022,4,26,2022
2022-04-27,39241.121094,2022,4,27,2022
2022-04-28,39773.828125,2022,4,28,2022
2022-04-29,38609.824219,2022,4,29,2022
2022-04-30,37714.875,2022,4,30,2022
2022-05-01,38469.09375,2022,5,1,2022
2022-05-02,38529.328125,2022,5,2,2022
2022-05-03,37750.453125,2022,5,3,2022
2022-05-04,39698.371094,2022,5,4,2022
2022-05-05,36575.140625,2022,5,5,2022
2022-05-06,36040.921875,2022,5,6,2022
2022-05-07,35501.953125,2022,5,7,2022
2022-05-08,34059.265625,2022,5,8,2022
2022-05-09,30296.953125,2022,5,9,2022
2022-05-10,31022.90625,2022,5,10,2022
2022-05-11,28936.355469,2022,5,11,2022
2022-05-12,29047.751953,2022,5,12,2022
2022-05-13,29283.103516,2022,5,13,2022
2022-05-14,30101.265625,2022,5,14,2022
2022-05-15,31305.113281,2022,5,15,2022
2022-05-16,29862.917969,2022,5,16,2022
2022-05-17,30425.857422,2022,5,17,2022
2022-05-18,28720.271484,2022,5,18,2022
2022-05-19,30314.333984,2022,5,19,2022
2022-05-20,29200.740234,2022,5,20,2022
2022-05-21,29432.226563,2022,5,21,2022
2022-05-22,30323.722656,2022,5,22,2022
2022-05-23,29098.910156,2022,5,23,2022
2022-05-24,29655.585938,2022,5,24,2022
2022-05-25,29562.361328,2022,5,25,2022
2022-05-26,29267.224609,2022,5,26,2022
2022-05-27,28627.574219,2022,5,27,2022
2022-05-28,28814.900391,2022,5,28,2022
2022-05-29,29445.957031,2022,5,29,2022
2022-05-30,31726.390625,2022,5,30,2022
2022-05-31,31792.310547,2022,5,31,2022
2022-06-01,29799.080078,2022,6,1,2022
2022-06-02,30467.488281,2022,6,2,2022
2022-06-03,29704.390625,2022,6,3,2022
2022-06-04,29832.914063,2022,6,4,2022
2022-06-05,29906.662109,2022,6,5,2022
2022-06-06,31370.671875,2022,6,6,2022
2022-06-07,31155.478516,2022,6,7,2022
2022-06-08,30214.355469,2022,6,8,2022
2022-06-09,30111.998047,2022,6,9,2022
2022-06-10,29083.804688,2022,6,10,2022
2022-06-11,28360.810547,2022,6,11,2022
2022-06-12,26762.648438,2022,6,12,2022
2022-06-13,22487.388672,2022,6,13,2022
2022-06-14,22206.792969,2022,6,14,2022
2022-06-15,22572.839844,2022,6,15,2022
2022-06-16,20381.650391,2022,6,16,2022
2022-06-17,20471.482422,2022,6,17,2022
2022-06-18,19017.642578,2022,6,18,2022
